,replay_file,time_played_at,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
54,/home/dominik/Links/SC2Reps/World of Sleepers LE (33).SC2Replay,2019-12-03 19:10:16+00:00,False,Protoss,Protoss,4026.0,4104.0,Orian,World of Sleepers LE,817,-78.0
55,/home/dominik/Links/SC2Reps/Deathaura LE (27).SC2Replay,2020-07-18 19:16:03+00:00,False,Protoss,Terran,4016.0,3681.0,kNo,Deathaura LE,514,335.0
56,/home/dominik/Links/SC2Reps/Deathaura LE (6).SC2Replay,2020-06-19 10:59:39+00:00,False,Protoss,Terran,4119.0,4033.0,davinchi,Deathaura LE,559,86.0
57,/home/dominik/Links/SC2Reps/Ever Dream LE (28).SC2Replay,2020-06-03 18:34:39+00:00,True,Protoss,Zerg,4180.0,4304.0,feetlover,Ever Dream LE,763,-124.0
58,/home/dominik/Links/SC2Reps/Ephemeron LE (16).SC2Replay,2019-11-18 15:58:52+00:00,True,Protoss,Zerg,3893.0,3790.0,влад,Ephemeron LE,845,103.0
59,/home/dominik/Links/SC2Reps/Zen LE (9).SC2Replay,2020-05-02 19:20:36+00:00,True,Protoss,Protoss,3944.0,3998.0,mozgj,Zen LE,823,-54.0
60,/home/dominik/Links/SC2Reps/Ephemeron LE (21).SC2Replay,2019-11-19 19:10:36+00:00,False,Protoss,Protoss,3947.0,4009.0,&lt;TDDA&gt;<sp/>EMM,Ephemeron LE,219,-62.0
61,/home/dominik/Links/SC2Reps/Ice and Chrome LE (31).SC2Replay,2020-07-25 19:01:35+00:00,True,Protoss,Terran,4039.0,3971.0,Bolo,Ice and Chrome LE,959,68.0
62,/home/dominik/Links/SC2Reps/Acropolis LE (10).SC2Replay,2019-10-22 12:04:14+00:00,False,Protoss,Zerg,3885.0,4350.0,&lt;МД86&gt;<sp/>Moldovanin,Acropolis LE,187,-465.0
63,/home/dominik/Links/SC2Reps/Simulacrum LE (57).SC2Replay,2020-04-19 11:34:20+00:00,False,Protoss,Zerg,,,shadowofmich,Simulacrum LE,382,
64,/home/dominik/Links/SC2Reps/Simulacrum LE (45).SC2Replay,2020-03-30 15:48:04+00:00,False,Protoss,Zerg,4001.0,3997.0,Bee,Simulacrum LE,616,4.0
65,/home/dominik/Links/SC2Reps/Ephemeron LE (11).SC2Replay,2019-11-04 20:46:24+00:00,False,Protoss,Zerg,3825.0,3847.0,North,Ephemeron LE,311,-22.0
66,/home/dominik/Links/SC2Reps/Ephemeron LE (45).SC2Replay,2020-02-18 18:56:03+00:00,True,Protoss,Zerg,4000.0,4095.0,Hello,Ephemeron LE,849,-95.0
