,replay_file,win,race,enemy_race,mmr,enemy_mmr,enemy_nickame,map_name,duration,mmr_diff
2019-11-12 10:06:52+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (20).SC2Replay,True,Protoss,Terran,3890,3962,Paulie,World of Sleepers LE,1005,-72
2019-11-17 09:52:24+00:00,/home/dominik/Links/SC2Reps/Triton LE (16).SC2Replay,False,Zerg,Protoss,3054,3062,Unity,Triton LE,592,-8
2019-11-17 09:58:11+00:00,/home/dominik/Links/SC2Reps/Triton LE (17).SC2Replay,False,Protoss,Protoss,3913,3992,TrashCanMan,Triton LE,212,-79
2019-11-17 10:20:15+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (15).SC2Replay,True,Protoss,Terran,3894,3798,MightyMurloc,Ephemeron LE,1313,96
2019-11-18 15:35:35+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (21).SC2Replay,True,Zerg,Protoss,3014,3023,&lt;DayJ&gt;<sp/>Fuzzy,World of Sleepers LE,640,-9
2019-11-18 15:44:35+00:00,/home/dominik/Links/SC2Reps/Triton LE (18).SC2Replay,False,Protoss,Zerg,3913,3797,&lt;lLiTl&gt;<sp/>Eniman,Triton LE,278,116
2019-11-18 15:58:52+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (16).SC2Replay,True,Protoss,Zerg,3893,3790,влад,Ephemeron LE,845,103
2019-11-18 16:08:11+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (17).SC2Replay,False,Protoss,Zerg,3911,3966,trouth,Ephemeron LE,529,-55
2019-11-18 16:17:57+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (18).SC2Replay,True,Protoss,Protoss,3891,3881,OlympusRoyal,Ephemeron LE,540,10
2019-11-18 17:08:15+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (19).SC2Replay,False,Protoss,Terran,3912,3823,InsighT,Ephemeron LE,44,89
2019-11-18 17:26:00+00:00,/home/dominik/Links/SC2Reps/Triton LE (19).SC2Replay,True,Protoss,Zerg,3888,3904,trouth,Triton LE,970,-16
2019-11-18 17:32:43+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (24).SC2Replay,False,Protoss,Protoss,3910,3920,Raver,Acropolis LE,341,-10
2019-11-18 17:48:00+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (22).SC2Replay,True,Protoss,Terran,3889,3907,&lt;TheDOH&gt;<sp/>secretspace,World of Sleepers LE,879,-18
2019-11-18 18:03:36+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (25).SC2Replay,True,Protoss,Zerg,3911,3961,Cosmobrother,Acropolis LE,909,-50
2019-11-19 07:23:00+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (11).SC2Replay,True,Protoss,Protoss,3934,3874,IIIIIIIIIIII,Disco Bloodbath LE,780,60
2019-11-19 18:45:19+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (12).SC2Replay,False,Zerg,Terran,3054,3040,MooseMan,Disco Bloodbath LE,807,14
2019-11-19 19:02:22+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (23).SC2Replay,True,Protoss,Terran,3954,3570,&lt;EESC&gt;<sp/>penduloSFX,World of Sleepers LE,1003,384
2019-11-19 19:05:56+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (20).SC2Replay,False,Protoss,Protoss,3972,4359,Pudgey,Ephemeron LE,183,-387
2019-11-19 19:10:36+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (21).SC2Replay,False,Protoss,Protoss,3947,4009,&lt;TDDA&gt;<sp/>EMM,Ephemeron LE,219,-62
2019-11-19 19:33:09+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (22).SC2Replay,True,Protoss,Zerg,3950,3859,YvanDuRêve,Ephemeron LE,1173,91
2019-11-20 07:59:04+00:00,/home/dominik/Links/SC2Reps/Ephemeron LE (23).SC2Replay,False,Protoss,Zerg,3969,3988,BuRneR,Ephemeron LE,453,-19
2019-11-20 08:19:24+00:00,/home/dominik/Links/SC2Reps/Triton LE (20).SC2Replay,False,Protoss,Zerg,3948,3885,&lt;CocoCo&gt;<sp/>Goty,Triton LE,1199,63
2019-11-25 17:23:07+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (13).SC2Replay,True,Zerg,Protoss,3015,2968,&lt;b0O0n&gt;<sp/>DrLove,Disco Bloodbath LE,935,47
2019-11-25 17:38:25+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (24).SC2Replay,True,Protoss,Zerg,3925,4020,&lt;kOzY&gt;<sp/>Dave,World of Sleepers LE,891,-95
2019-11-25 17:53:56+00:00,/home/dominik/Links/SC2Reps/Disco Bloodbath LE (14).SC2Replay,False,Protoss,Protoss,3949,3935,Crombo,Disco Bloodbath LE,830,14
2019-11-26 18:58:28+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (25).SC2Replay,False,Protoss,Zerg,3927,3908,прорвемся,World of Sleepers LE,321,19
2019-11-26 19:04:47+00:00,/home/dominik/Links/SC2Reps/Acropolis LE (26).SC2Replay,False,Protoss,Protoss,3905,4596,Doomweed,Acropolis LE,224,-691
2019-11-26 19:11:43+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (26).SC2Replay,True,Protoss,Zerg,3899,4851,SkyFlare,World of Sleepers LE,66,-952
2019-11-26 19:20:15+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (27).SC2Replay,True,Protoss,Terran,3924,3941,Chief,World of Sleepers LE,463,-17
2019-11-26 19:32:23+00:00,/home/dominik/Links/SC2Reps/Triton LE (21).SC2Replay,True,Protoss,Terran,3944,3808,Romio,Triton LE,685,136
2019-11-28 19:00:27+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE.SC2Replay,False,Protoss,Terran,3962,3942,&lt;SILeSp&gt;<sp/>Galactus,Eternal Empire LE,307,20
2019-11-28 19:09:44+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (28).SC2Replay,True,Protoss,Protoss,3940,3854,&lt;vGL&gt;<sp/>Celestial,World of Sleepers LE,541,86
2019-11-28 19:23:15+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (29).SC2Replay,True,Protoss,Terran,3959,3956,Inquisition,World of Sleepers LE,721,3
2019-11-29 18:07:04+00:00,/home/dominik/Links/SC2Reps/Nightshade LE.SC2Replay,False,Protoss,Zerg,3981,3976,zzTp,Nightshade LE,468,5
2019-11-29 18:14:11+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (30).SC2Replay,False,Protoss,Zerg,3959,3998,zzTp,World of Sleepers LE,384,-39
2019-11-29 18:31:35+00:00,/home/dominik/Links/SC2Reps/Simulacrum LE.SC2Replay,True,Protoss,Terran,3939,3953,&lt;ERHELM&gt;<sp/>Erik,Simulacrum LE,1015,-14
2019-11-29 18:36:51+00:00,/home/dominik/Links/SC2Reps/Eternal Empire LE (2).SC2Replay,False,Zerg,Zerg,3050,3083,Kesko,Eternal Empire LE,267,-33
2019-11-29 18:46:06+00:00,/home/dominik/Links/SC2Reps/World of Sleepers LE (31).SC2Replay,False,Zerg,Zerg,3015,2908,OVERMIND,World of Sleepers LE,528,107
