,time_played_at,win,race,enemy_race,mmr,mmr_diff,enemy_nickame,map_name,duration
221,2019-11-19 18:45:19+00:00,False,Zerg,Terran,3054,14,MooseMan,Disco Bloodbath LE,807
222,2019-12-21 13:41:55+00:00,True,Protoss,Terran,3936,-40,tiwai,Eternal Empire LE,611
223,2020-01-04 19:07:07+00:00,True,Protoss,Protoss,4031,-132,&lt;unƊeaƊ&gt;<sp/>òMégà,World of Sleepers LE,107
224,2020-01-05 15:02:49+00:00,False,Protoss,Protoss,4041,-37,Tomstar,World of Sleepers LE,293
225,2019-12-22 20:55:54+00:00,False,Protoss,Protoss,3965,67,Bingo,Nightshade LE,182
226,2020-02-14 12:29:16+00:00,False,Protoss,Protoss,4101,-350,StormHead,Simulacrum LE,227
227,2020-02-20 20:24:49+00:00,False,Protoss,Terran,4067,219,Badcomedian,Nightshade LE,625
228,2020-03-11 20:53:48+00:00,False,Protoss,Terran,4054,81,StaryPijany,Simulacrum LE,531
229,2019-11-01 14:28:00+00:00,False,Zerg,Zerg,3104,-36,&lt;THUT&gt;<sp/>Vladosik,Disco Bloodbath LE,262
230,2019-11-29 18:46:06+00:00,False,Zerg,Zerg,3015,107,OVERMIND,World of Sleepers LE,528
231,2019-10-30 07:06:31+00:00,True,Protoss,Terran,3881,389,Paulie,Ephemeron LE,548
232,2019-11-01 10:57:15+00:00,True,Zerg,Terran,3043,126,Varrag,World of Sleepers LE,1153
233,2020-04-27 11:42:24+00:00,False,Protoss,Zerg,3975,-224,&lt;NetGG&gt;<sp/>vladozerg,Nightshade LE,695
234,2020-05-01 12:54:20+00:00,False,Protoss,Protoss,3965,66,Cptred,Nightshade LE,415
235,2020-05-05 18:00:50+00:00,True,Protoss,Protoss,4026,193,helldenn,Purity and Industry LE,873
